iter	RMSE
0	0.1084231712
1	0.1057125919
2	0.103069777
3	0.09998061543
4	0.09699430943
5	0.09456945166
6	0.09175437978
7	0.08946052026
8	0.08680651595
9	0.08423986905
10	0.08213387229
11	0.07971344393
12	0.07737207057
13	0.07510687345
14	0.07322920158
15	0.0710922104
16	0.0690242058
17	0.0670227004
18	0.06508530471
19	0.06320972307
20	0.06139374988
21	0.05985890611
22	0.05814438416
23	0.05669077453
24	0.05527350515
25	0.0536950345
26	0.05216614667
27	0.05068509825
28	0.04925021351
29	0.04801895815
30	0.04681848418
31	0.04564802206
32	0.0443593799
33	0.04325039539
34	0.04203283171
35	0.0409820109
36	0.03995746061
37	0.03883567866
38	0.03786478667
39	0.03691816699
40	0.03599521281
41	0.03498739473
42	0.03411270985
43	0.03316013656
44	0.03233113313
45	0.03143067
46	0.03064490324
47	0.02987878065
48	0.02904876018
49	0.02832254117
50	0.02761447763
51	0.02692411568
52	0.02625101277
53	0.02559473745
54	0.02488552612
55	0.02426338795
56	0.02365680325
57	0.02306538316
58	0.02248874857
59	0.02192652985
60	0.02137836659
61	0.02084390742
62	0.02032280973
63	0.01981473947
64	0.01931937098
65	0.0188363867
66	0.01836547702
67	0.01790634009
68	0.01745868158
69	0.01702221454
70	0.01659665917
71	0.01618174268
72	0.01577719911
73	0.01538276913
74	0.01499819989
75	0.01462324489
76	0.01425766376
77	0.01390122216
78	0.0135536916
79	0.01321484931
80	0.01288447807
81	0.01256236611
82	0.01224830696
83	0.01194209928
84	0.01164354679
85	0.01135245812
86	0.01106864666
87	0.01079193049
88	0.01052213222
89	0.01025907891
90	0.01000260194
91	0.009752536884
92	0.009508723459
93	0.009271005369
94	0.009039230231
95	0.008813249472
96	0.008592918232
97	0.008378095273
98	0.008168642888
99	0.007964426812
